param,dbcv,n_clusters,noise_ratio,duration
50,0.326415469378427,1772,0.19281166359117582,2.338229326407115
250,0.22274065069857152,367,0.2957790966369092,2.3364392797152203
450,0.1908482650511427,168,0.3497448173823417,2.339849058787028
650,0.19726016991999173,108,0.36590361245490666,2.3460151831309
850,0.20273220108684975,79,0.370831047495553,2.3450132767359415
1050,0.20218996878452172,70,0.3756820108722757,2.3413995782534283
1250,0.23808000555738906,55,0.3979951124632188,2.3381359378496804
1450,0.2559446780797894,49,0.4105431150566057,2.342442194620768
1650,0.22861833047210248,42,0.4128206406995495,2.3337611158688865
1850,0.24011654323617507,41,0.41255465230329325,2.321040423711141
2050,0.2183192625645859,37,0.43859159144182336,2.3143623510996503
2250,0.20146968755333836,31,0.41143417618406397,2.310625636577606
2450,0.1965960526691154,29,0.427150765547853,2.3129810293515525
2650,0.1965960526691154,29,0.427150765547853,2.309208114941915
2850,0.20162694121447036,26,0.4409987864279421,2.312466104825338
3050,0.21146487457088964,24,0.46070852659052747,2.320283889770508
3250,0.22305404335865728,22,0.47103552607517496,2.341204313437144
3450,0.20624432104756352,20,0.4933818762156501,2.3404239694277447
3650,0.20624432104756352,20,0.4933818762156501,2.3419007579485576
3850,0.19650786928949096,19,0.5055907436038103,2.3397470235824587
4050,0.19650786928949096,19,0.5055907436038103,2.3479177673657734
4250,0.1520595123505985,14,0.5147207953053048,2.3284056027730307
4450,0.11012250130214193,12,0.4223230761558027,2.3223347544670103
4650,0.09921740620002334,11,0.43723505062091667,2.3154040932655335
4850,0.08896952707314755,10,0.45278207238209234,2.3122082988421124
Average,0.2003978609786061,,,58.251799082756044
Best,0.326415469378427,1772,,
